врем€;Q,г¬т/м2;D,г¬т/м2
7:51:00;542,309;50,49
7:52:00;545,319;50,644
7:53:00;546,878;50,574
7:54:00;548,04;51,132
7:55:00;551,761;50,644
7:56:00;554,688;50,323
7:57:00;556,589;50,295
7:58:00;559,024;50,63
7:59:00;561,267;50,867
8:00:00;563,113;50,7
8:01:00;565,548;50,77
8:02:00;567,873;50,909
8:03:00;570,089;50,798
8:04:00;572,647;50,756
8:05:00;574,001;50,798
8:06:00;574,575;51,315
8:07:00;576,299;51,678
8:08:00;579,185;51,789
8:09:00;581,578;51,929
8:10:00;582,385;52,166
8:11:00;585,258;52,432
8:12:00;587,282;52,474
8:13:00;589,963;52,781
8:14:00;591,755;53,032
8:15:00;593,834;53,102
8:16:00;597,431;53,27
8:17:00;599,168;53,479
8:18:00;600,618;53,41
8:19:00;602,751;53,759
8:20:00;604,967;53,955
8:21:00;608,004;53,983
8:22:00;610,192;53,997
8:23:00;612,613;53,969
8:24:00;615,431;53,899
8:25:00;618,631;54,095
8:26:00;622,297;53,983
8:27:00;624,923;53,899
8:28:00;626,236;53,732
8:29:00;628,285;53,905
8:30:00;629,519;54,402
8:31:00;631,379;54,807
8:32:00;634,484;55,407
8:33:00;636,754;56,175
8:34:00;638,929;57,097
8:35:00;639,435;58,158
8:36:00;641,049;58,884
8:37:00;645,33;59,331
8:38:00;638,232;59,652
8:39:00;642,351;60,607
8:40:00;646,78;61,467
8:41:00;646,849;62,048
8:42:00;646,766;62,403
8:43:00;653,428;62,445
8:44:00;659,098;62,473
8:45:00;662,284;62,794
8:46:00;661,523;63,004
8:47:00;662,806;62,948
8:48:00;670,293;63,004
8:49:00;672,96;62,948
8:50:00;674,698;62,99
8:51:00;674,29;64,233
8:52:00;680,07;63,646
8:53:00;678,422;63,758
8:54:00;678,577;64,498
8:55:00;677,833;65,001
8:56:00;677,158;65,922
8:57:00;682,193;66,757
8:58:00;687,1;66,83
8:59:00;688,725;66,997
9:00:00;689,58;66,83
9:01:00;695,058;66,564
9:02:00;700,002;66,495
9:03:00;693,131;66,941
9:04:00;695,984;67,444
9:05:00;697,555;67,807
9:06:00;705,016;68,1
9:07:00;705,958;67,779
9:08:00;711,745;68,24
9:09:00;717,746;68,03
9:10:00;719,34;68,267
9:11:00;720,936;68,742
9:12:00;722,937;69,426
9:13:00;718,695;70,446
9:14:00;707,049;71,214
9:15:00;708,227;71,689
9:16:00;709,547;72,135
9:17:00;720,252;72,359
9:18:00;727,869;72,526
9:19:00;730,803;72,68
9:20:00;735,354;73,406
9:21:00;734,646;74,565
9:22:00;735,453;75,514
9:23:00;740,582;76,952
9:24:00;753,138;78,726
9:25:00;757,173;81,016
9:26:00;753,549;84,171
9:27:00;730,488;86,503
9:28:00;740,952;89,366
9:29:00;742,423;92,276
9:30:00;747,366;94,811
9:31:00;744,303;96,99
9:32:00;753,002;99,643
9:33:00;742,839;101,793
9:34:00;710,382;103,022
9:35:00;698,838;103,636
9:36:00;679,237;103,259
9:37:00;701,765;103,357
9:38:00;728,163;102,91
9:39:00;747,722;102,938
9:40:00;756,845;102,658
9:41:00;750,581;102,435
9:42:00;744,768;102,603
9:43:00;753,152;103,189
9:44:00;767,309;103,427
9:45:00;770,003;103,608
9:46:00;775,98;104,027
9:47:00;781;103,539
9:48:00;781,574;103,134
9:49:00;783,11;102,925
9:50:00;781,655;102,953
9:51:00;782,73;102,813
9:52:00;797,946;102,478
9:53:00;799,642;102,115
9:54:00;804,933;102,017
9:55:00;812,739;102,939
9:56:00;808,716;103,134
9:57:00;820,286;103,274
9:58:00;827,646;103,944
9:59:00;828,686;104,67
10:00:00;828,489;105,871
10:01:00;827,338;106,974
10:02:00;805,206;108,314
10:03:00;788,892;109,599
10:04:00;765,53;109,599
10:05:00;781,957;109,222
10:06:00;814,237;108,007
10:07:00;832,196;106,973
10:08:00;827,504;106,247
10:09:00;815,222;105,982
10:10:00;807,466;105,703
10:11:00;795,102;106,317
10:12:00;792,257;106,806
10:13:00;811,036;107,253
10:14:00;774,599;105,926
10:15:00;788,632;105,507
10:16:00;788,919;105,452
10:17:00;792,045;104,726
10:18:00;798,906;102,296
10:19:00;822,305;100,174
10:20:00;826,47;97,59
10:21:00;834,767;95,315
10:22:00;844,649;93,29
10:23:00;852,263;91,74
10:24:00;854,314;90,874
10:25:00;856,721;90,162
10:26:00;856,407;90,162
10:27:00;856,545;90,037
10:28:00;858,037;88,543
10:29:00;856,587;87,9
10:30:00;856,024;87,956
10:31:00;847,895;87,621
10:32:00;853,974;87,398
10:33:00;858,749;87,384
10:34:00;860,174;87,272
10:35:00;859,667;87,51
10:36:00;858,027;89,018
10:37:00;861,12;89,046
10:38:00;859,403;90,623
10:39:00;857,262;92,076
10:40:00;860,912;93,5
10:41:00;867,163;95,385
10:42:00;854,704;97,019
10:43:00;848,601;98,918
10:44:00;862,706;100,873
10:45:00;854,082;103,638
10:46:00;831,847;106,207
10:47:00;829,409;108,86
10:48:00;808,824;110,508
10:49:00;805,558;111,905
10:50:00;816,074;112,952
10:51:00;823,089;115,354
10:52:00;808,827;117,769
10:53:00;808,627;121,204
10:54:00;817,452;124,165
10:55:00;804,283;126,162
10:56:00;820,186;128,34
10:57:00;837,128;129,625
10:58:00;832,481;129,694
10:59:00;847,573;129,401
11:00:00;868,344;129,513
11:01:00;889,313;129,541
11:02:00;901,604;130,448
11:03:00;896,02;133,046
11:04:00;868,597;136,858
11:05:00;854,197;141,968
11:06:00;828,941;145,278
11:07:00;815,249;148,531
11:08:00;823,038;150,85
11:09:00;834,605;153,922
11:10:00;842,303;156,337
11:11:00;784,931;157,594
11:12:00;779,444;158,293
11:13:00;778,519;157,483
11:14:00;847,782;157,623
11:15:00;837,876;158,782
11:16:00;818,03;159,341
11:17:00;841,504;158,936
11:18:00;854,459;160,332
11:19:00;839,283;161,31
11:20:00;844,408;162,72
11:21:00;861,416;165,052
11:22:00;843,011;166,532
11:23:00;857,025;168,055
11:24:00;806,581;168,529
11:25:00;839,386;169,577
11:26:00;875,016;171,42
11:27:00;816,498;171,322
11:28:00;844,984;172,649
11:29:00;830,035;173,431
11:30:00;828,359;173,682
11:31:00;840,361;172,746
11:32:00;835,861;170,693
11:33:00;812,813;168,459
